Model,T-statistic,P-value,Improvement
linear,-2.0244643008219794,0.04839079398227199,-0.016866212121080405
kernel,-2.078601463820182,0.042911898161620755,-0.022248735664492272
mlp,-2.162258857524122,0.035508156335430585,-0.022311189886694754
